Time,result,bal_pre,leak_val,leak_val_1
Thu Jun  1 11:12:25 2023, PASS_RES,100049.525,6.229,0
Thu Jun  1 11:12:39 2023, PASS_RES,100049.262,5.125,0
Thu Jun  1 11:12:53 2023, PASS_RES,100044.602,2.45,0
Thu Jun  1 11:13:07 2023, PASS_RES,100050.065,5.896,0
Thu Jun  1 11:13:20 2023, PASS_RES,100046.544,4.436,0
Thu Jun  1 11:13:34 2023, PASS_RES,100044.614,3.077,0
Thu Jun  1 11:13:48 2023, PASS_RES,100045.662,3.753,0
Thu Jun  1 11:14:02 2023, PASS_RES,100043.692,3.162,0
Thu Jun  1 11:14:16 2023, PASS_RES,100044.426,1.721,0
Thu Jun  1 11:14:30 2023, PASS_RES,100039.363,3.71,0
Thu Jun  1 11:14:44 2023, PASS_RES,100043.431,5.856,0
Thu Jun  1 11:14:58 2023, PASS_RES,100041.521,6.082,0
Thu Jun  1 11:15:11 2023, PASS_RES,100043.854,3.513,0
Thu Jun  1 11:15:25 2023, PASS_RES,100044.829,6.109,0
Thu Jun  1 11:15:39 2023, PASS_RES,100042.789,4.191,0
Thu Jun  1 11:15:53 2023, PASS_RES,100042.896,3.313,0
Thu Jun  1 11:16:07 2023, PASS_RES,100045.023,3.565,0
Thu Jun  1 11:16:21 2023, PASS_RES,100045.218,3.523,0
Thu Jun  1 11:16:35 2023, PASS_RES,100045.035,5.307,0
Thu Jun  1 11:16:48 2023, PASS_RES,100047.169,5.082,0
Thu Jun  1 11:17:02 2023, PASS_RES,100048.342,3.864,0
Thu Jun  1 11:17:16 2023, PASS_RES,100047.276,4.075,0
Thu Jun  1 11:17:30 2023, PASS_RES,100045.928,4.123,0
Thu Jun  1 11:17:44 2023, PASS_RES,100047.134,5.194,0
Thu Jun  1 11:17:58 2023, PASS_RES,100043.115,3.927,0
Thu Jun  1 11:18:12 2023, PASS_RES,100042.013,3.729,0
Thu Jun  1 11:18:26 2023, PASS_RES,100043.357,4.248,0
Thu Jun  1 11:18:39 2023, PASS_RES,100044.246,2.704,0
Thu Jun  1 11:18:53 2023, PASS_RES,100049.299,4.393,0
Thu Jun  1 11:19:07 2023, PASS_RES,100043.029,1.686,0
Thu Jun  1 11:19:21 2023, PASS_RES,100045.778,4.491,0
Thu Jun  1 11:19:35 2023, PASS_RES,100043.073,6.554,0
Thu Jun  1 11:19:49 2023, PASS_RES,100047.448,7.599,0
Thu Jun  1 11:20:03 2023, PASS_RES,100039.813,7.357,0
Thu Jun  1 11:20:16 2023, PASS_RES,100039.707,2.285,0
Thu Jun  1 11:20:30 2023, PASS_RES,100038.93,4.175,0
Thu Jun  1 11:20:44 2023, PASS_RES,100033.178,6.181,0
Thu Jun  1 11:20:58 2023, PASS_RES,100033.411,3.789,0
Thu Jun  1 11:21:12 2023, PASS_RES,100036.49,2.614,0
Thu Jun  1 11:21:26 2023, PASS_RES,100037.094,6.338,0
